"F:\Program Files (x86)\SteamLibrary\steamapps\common\dota 2 beta\game\bin\win64\dota2.exe" -addon all_deathmatch -tools -steam

f:\program files (x86)\steamlibrary\steamapps\common\dota 2 beta\game\dota_addons\all_deathmatch\elements\sessions\session3_play5.dmx#0

1280x720 @24.00 fps
motion blur samples:    per-camera settings
depth of field samples: 64

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
      0	  1.917	      2	shot1                 	sources_film_maker_int	   64	    8	   64
      1	  1.231	      3	shot1                 	sources_film_maker_int	   64	    8	   64
      2	  1.324	      4	shot1                 	sources_film_maker_int	   64	    8	   64
      3	  1.261	      6	shot1                 	sources_film_maker_int	   64	    8	   64
      4	  1.229	      7	shot1                 	sources_film_maker_int	   64	    8	   64
      5	  1.234	      8	shot1                 	sources_film_maker_int	   64	    8	   64
      6	  1.300	      9	shot1                 	sources_film_maker_int	   64	    8	   64
      7	  1.229	     11	shot1                 	sources_film_maker_int	   64	    8	   64
      8	  1.229	     12	shot1                 	sources_film_maker_int	   64	    8	   64
      9	  1.245	     13	shot1                 	sources_film_maker_int	   64	    8	   64
     10	  1.322	     15	shot1                 	sources_film_maker_int	   64	    8	   64
     11	  1.253	     16	shot1                 	sources_film_maker_int	   64	    8	   64
     12	  1.226	     17	shot1                 	sources_film_maker_int	   64	    8	   64
     13	  1.236	     18	shot1                 	sources_film_maker_int	   64	    8	   64
     14	  1.291	     20	shot1                 	sources_film_maker_int	   64	    8	   64
     15	  1.341	     21	shot1                 	sources_film_maker_int	   64	    8	   64
     16	  1.221	     22	shot1                 	sources_film_maker_int	   64	    8	   64
     17	  1.240	     23	shot1                 	sources_film_maker_int	   64	    8	   64
     18	  1.298	     25	shot1                 	sources_film_maker_int	   64	    8	   64
     19	  1.260	     26	shot1                 	sources_film_maker_int	   64	    8	   64
     20	  1.240	     27	shot1                 	sources_film_maker_int	   64	    8	   64
     21	  1.296	     28	shot1                 	sources_film_maker_int	   64	    8	   64
     22	  1.295	     30	shot1                 	sources_film_maker_int	   64	    8	   64
     23	  1.319	     31	shot1                 	sources_film_maker_int	   64	    8	   64
     24	  1.336	     32	shot1                 	sources_film_maker_int	   64	    8	   64
     25	  1.325	     34	shot1                 	sources_film_maker_int	   64	    8	   64
     26	  1.416	     35	shot1                 	sources_film_maker_int	   64	    8	   64
     27	  1.256	     36	shot1                 	sources_film_maker_int	   64	    8	   64
     28	  1.252	     38	shot1                 	sources_film_maker_int	   64	    8	   64
     29	  1.322	     39	shot1                 	sources_film_maker_int	   64	    8	   64
     30	  1.273	     40	shot1                 	sources_film_maker_int	   64	    8	   64
     31	  1.408	     42	shot1                 	sources_film_maker_int	   64	    8	   64
     32	  1.284	     43	shot1                 	sources_film_maker_int	   64	    8	   64
     33	  1.413	     44	shot1                 	sources_film_maker_int	   64	    8	   64
     34	  1.294	     46	shot1                 	sources_film_maker_int	   64	    8	   64
     35	  1.302	     47	shot1                 	sources_film_maker_int	   64	    8	   64
     36	  1.375	     48	shot1                 	sources_film_maker_int	   64	    8	   64
     37	  1.295	     50	shot1                 	sources_film_maker_int	   64	    8	   64
     38	  1.378	     51	shot1                 	sources_film_maker_int	   64	    8	   64
     39	  1.396	     52	shot1                 	sources_film_maker_int	   64	    8	   64
     40	  1.482	     54	shot1                 	sources_film_maker_int	   64	    8	   64
     41	  1.407	     55	shot1                 	sources_film_maker_int	   64	    8	   64
     42	  1.316	     57	shot1                 	sources_film_maker_int	   64	    8	   64
     43	  1.381	     58	shot1                 	sources_film_maker_int	   64	    8	   64
     44	  1.611	     60	shot1                 	sources_film_maker_int	   64	    8	   64
     45	  1.558	     61	shot1                 	sources_film_maker_int	   64	    8	   64
     46	  1.326	     62	shot1                 	sources_film_maker_int	   64	    8	   64
     47	  1.419	     64	shot1                 	sources_film_maker_int	   64	    8	   64
     48	  1.473	     65	shot1                 	sources_film_maker_int	   64	    8	   64
     49	  1.349	     67	shot1                 	sources_film_maker_int	   64	    8	   64
     50	  1.351	     68	shot1                 	sources_film_maker_int	   64	    8	   64
     51	  1.522	     70	shot1                 	sources_film_maker_int	   64	    8	   64
     52	  1.383	     71	shot1                 	sources_film_maker_int	   64	    8	   64
     53	  1.549	     72	shot1                 	sources_film_maker_int	   64	    8	   64
     54	  1.541	     74	shot1                 	sources_film_maker_int	   64	    8	   64
     55	  1.305	     75	shot1                 	sources_film_maker_int	   64	    8	   64
     56	  1.266	     77	shot1                 	sources_film_maker_int	   64	    8	   64
     57	  1.556	     78	shot1                 	sources_film_maker_int	   64	    8	   64
     58	  1.552	     80	shot1                 	sources_film_maker_int	   64	    8	   64
     59	  1.321	     81	shot1                 	sources_film_maker_int	   64	    8	   64
     60	  1.460	     82	shot1                 	sources_film_maker_int	   64	    8	   64
