"F:\Program Files (x86)\SteamLibrary\steamapps\common\dota 2 beta\game\bin\win64\dota2.exe" -addon all_deathmatch -tools -steam -4gb

f:\program files (x86)\steamlibrary\steamapps\common\dota 2 beta\game\dota_addons\all_deathmatch\elements\sessions\sessionfinal.dmx#0

1280x720 @24.00 fps
motion blur samples:    per-camera settings
depth of field samples: 64

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
     98	  1.521	    165	shot1                 	map                   	   64	    8	   64
     99	  1.407	    167	shot1                 	map                   	   64	    8	   64
    100	  1.419	    168	shot1                 	map                   	   64	    8	   64
    101	  1.498	    169	shot1                 	map                   	   64	    8	   64
    102	  1.521	    171	shot1                 	map                   	   64	    8	   64
    103	  1.448	    172	shot1                 	map                   	   64	    8	   64
    104	  1.448	    174	shot1                 	map                   	   64	    8	   64
    105	  1.604	    175	shot1                 	map                   	   64	    8	   64
    106	  1.560	    177	shot1                 	map                   	   64	    8	   64
    107	  1.606	    179	shot1                 	map                   	   64	    8	   64
    108	  1.464	    180	shot1                 	map                   	   64	    8	   64
    109	  1.470	    182	shot1                 	map                   	   64	    8	   64
    110	  1.496	    183	shot1                 	map                   	   64	    8	   64
    111	  1.475	    185	shot1                 	map                   	   64	    8	   64
    112	  1.503	    186	shot1                 	map                   	   64	    8	   64
    113	  1.476	    187	shot1                 	map                   	   64	    8	   64
    114	  1.438	    189	shot1                 	map                   	   64	    8	   64
    115	  1.523	    190	shot1                 	map                   	   64	    8	   64
    116	  1.532	    192	shot1                 	map                   	   64	    8	   64
    117	  1.419	    193	shot1                 	map                   	   64	    8	   64
    118	  1.450	    195	shot1                 	map                   	   64	    8	   64
    119	  1.479	    196	shot1                 	map                   	   64	    8	   64
    120	  1.506	    198	shot1                 	map                   	   64	    8	   64
    121	  1.523	    199	shot1                 	map                   	   64	    8	   64
    122	  1.552	    201	shot1                 	map                   	   64	    8	   64
    123	  1.569	    202	shot1                 	map                   	   64	    8	   64
    124	  1.508	    204	shot1                 	map                   	   64	    8	   64
    125	  1.552	    206	shot1                 	map                   	   64	    8	   64
    126	  1.486	    207	shot1                 	map                   	   64	    8	   64
    127	  1.484	    209	shot1                 	map                   	   64	    8	   64
    128	  1.612	    210	shot1                 	map                   	   64	    8	   64
    129	  1.656	    212	shot1                 	map                   	   64	    8	   64
    130	  1.542	    213	shot1                 	map                   	   64	    8	   64
    131	  1.502	    215	shot1                 	map                   	   64	    8	   64
    132	  1.463	    216	shot1                 	map                   	   64	    8	   64
    133	  1.491	    218	shot1                 	map                   	   64	    8	   64
    134	  1.469	    219	shot1                 	map                   	   64	    8	   64
    135	  1.509	    221	shot1                 	map                   	   64	    8	   64
    136	  1.539	    222	shot1                 	map                   	   64	    8	   64
    137	  1.476	    224	shot1                 	map                   	   64	    8	   64
    138	  1.498	    225	shot1                 	map                   	   64	    8	   64
    139	  1.481	    227	shot1                 	map                   	   64	    8	   64
    140	  1.476	    228	shot1                 	map                   	   64	    8	   64
    141	  1.482	    230	shot1                 	map                   	   64	    8	   64
    142	  1.463	    231	shot1                 	map                   	   64	    8	   64
    143	  1.517	    233	shot1                 	map                   	   64	    8	   64
    144	  1.479	    234	shot1                 	map                   	   64	    8	   64
    145	  1.514	    236	shot1                 	map                   	   64	    8	   64
    146	  1.487	    237	shot1                 	map                   	   64	    8	   64
    147	  1.465	    239	shot1                 	map                   	   64	    8	   64
    148	  1.429	    240	shot1                 	map                   	   64	    8	   64
    149	  1.563	    242	shot1                 	map                   	   64	    8	   64
    150	  1.544	    243	shot1                 	map                   	   64	    8	   64
    151	  1.545	    245	shot1                 	map                   	   64	    8	   64
    152	  1.504	    246	shot1                 	map                   	   64	    8	   64
    153	  1.526	    248	shot1                 	map                   	   64	    8	   64
    154	  1.489	    249	shot1                 	map                   	   64	    8	   64
    155	  1.437	    251	shot1                 	map                   	   64	    8	   64
    156	  1.519	    252	shot1                 	map                   	   64	    8	   64
    157	  1.474	    254	shot1                 	map                   	   64	    8	   64
    158	  1.481	    255	shot1                 	map                   	   64	    8	   64
    159	  1.458	    257	shot1                 	map                   	   64	    8	   64
    160	  1.429	    258	shot1                 	map                   	   64	    8	   64
    161	  1.443	    259	shot1                 	map                   	   64	    8	   64
    162	  1.409	    261	shot1                 	map                   	   64	    8	   64
    163	  1.418	    262	shot1                 	map                   	   64	    8	   64
    164	  1.412	    264	shot1                 	map                   	   64	    8	   64
    165	  1.443	    265	shot1                 	map                   	   64	    8	   64
    166	  1.407	    267	shot1                 	map                   	   64	    8	   64
    167	  1.401	    268	shot1                 	map                   	   64	    8	   64
    168	  1.336	    269	shot1                 	map                   	   64	    8	   64
    169	  1.331	    271	shot1                 	map                   	   64	    8	   64
    170	  1.348	    272	shot1                 	map                   	   64	    8	   64
    171	  1.466	    273	shot1                 	map                   	   64	    8	   64
    172	  1.528	    275	shot1                 	map                   	   64	    8	   64
    173	  1.451	    276	shot1                 	map                   	   64	    8	   64
    174	  1.419	    278	shot1                 	map                   	   64	    8	   64
    175	  1.512	    279	shot1                 	map                   	   64	    8	   64
    176	  1.376	    281	shot1                 	map                   	   64	    8	   64
    177	  1.385	    282	shot1                 	map                   	   64	    8	   64
    178	  1.374	    283	shot1                 	map                   	   64	    8	   64
    179	  1.415	    285	shot1                 	map                   	   64	    8	   64
    180	  1.422	    286	shot1                 	map                   	   64	    8	   64
    181	  1.399	    288	shot1                 	map                   	   64	    8	   64
    182	  1.387	    289	shot1                 	map                   	   64	    8	   64
    183	  1.426	    291	shot1                 	map                   	   64	    8	   64
    184	  1.380	    292	shot1                 	map                   	   64	    8	   64
    185	  1.413	    293	shot1                 	map                   	   64	    8	   64
    186	  1.364	    295	shot1                 	map                   	   64	    8	   64
    187	  1.383	    296	shot1                 	map                   	   64	    8	   64
    188	  1.486	    298	shot1                 	map                   	   64	    8	   64
    189	  1.478	    299	shot1                 	map                   	   64	    8	   64
    190	  1.486	    301	shot1                 	map                   	   64	    8	   64
    191	  1.382	    302	shot1                 	map                   	   64	    8	   64
    192	  1.484	    303	shot1                 	map                   	   64	    8	   64
    193	  1.470	    305	shot1                 	map                   	   64	    8	   64
    194	  1.372	    306	shot1                 	map                   	   64	    8	   64
    195	  1.329	    308	shot1                 	map                   	   64	    8	   64
    196	  1.354	    309	shot1                 	map                   	   64	    8	   64
    197	  1.363	    310	shot1                 	map                   	   64	    8	   64
    198	  1.329	    312	shot1                 	map                   	   64	    8	   64
    199	  1.345	    313	shot1                 	map                   	   64	    8	   64
    200	  1.449	    314	shot1                 	map                   	   64	    8	   64
    201	  1.405	    316	shot1                 	map                   	   64	    8	   64
    202	  1.454	    317	shot1                 	map                   	   64	    8	   64
    203	  1.325	    319	shot1                 	map                   	   64	    8	   64
    204	  1.343	    320	shot1                 	map                   	   64	    8	   64
    205	  1.349	    321	shot1                 	map                   	   64	    8	   64
    206	  1.328	    323	shot1                 	map                   	   64	    8	   64
    207	  1.372	    324	shot1                 	map                   	   64	    8	   64
    208	  1.353	    325	shot1                 	map                   	   64	    8	   64
    209	  1.361	    327	shot1                 	map                   	   64	    8	   64
    210	  1.398	    328	shot1                 	map                   	   64	    8	   64
    211	  1.313	    329	shot1                 	map                   	   64	    8	   64
    212	  1.353	    331	shot1                 	map                   	   64	    8	   64
    213	  1.372	    332	shot1                 	map                   	   64	    8	   64
    214	  1.401	    334	shot1                 	map                   	   64	    8	   64
    215	  1.409	    335	shot1                 	map                   	   64	    8	   64
    216	  1.418	    336	shot1                 	map                   	   64	    8	   64
    217	  1.640	    338	shot1                 	map                   	   64	    8	   64
    218	  1.541	    340	shot1                 	map                   	   64	    8	   64
    219	  1.710	    341	shot1                 	map                   	   64	    8	   64
    220	  1.493	    343	shot1                 	map                   	   64	    8	   64
    221	  1.485	    344	shot1                 	map                   	   64	    8	   64
    222	  1.535	    346	shot1                 	map                   	   64	    8	   64
    223	  1.433	    347	shot1                 	map                   	   64	    8	   64
    224	  1.419	    349	shot1                 	map                   	   64	    8	   64
    225	  1.390	    350	shot1                 	map                   	   64	    8	   64
    226	  1.366	    351	shot1                 	map                   	   64	    8	   64
    227	  1.357	    353	shot1                 	map                   	   64	    8	   64
    228	  1.346	    354	shot1                 	map                   	   64	    8	   64
